time (ms),ankle acceleration forward,ankle acceleration vertical,ankle acceleration lateral,thigh acceleration forward,thigh acceleration vertical,thigh acceleration lateral,trunk acceleration forward,trunk acceleration vertical,trunk acceleration lateral,labels
15.0,0,0,0,63,18,-979,0,0,0,0.0
31.0,0,0,0,63,18,-979,0,0,0,0.0
46.0,232,196,-930,63,37,-969,0,0,0,0.0
62.0,232,196,-930,63,37,-969,0,0,0,0.0
78.0,232,196,-930,54,37,-959,0,0,0,0.0
93.0,232,196,-930,54,37,-959,0,0,0,0.0
109.0,232,196,-930,72,27,-979,0,0,0,0.0
125.0,232,196,-930,72,27,-979,0,0,0,0.0
140.0,232,196,-930,72,27,-979,0,0,0,0.0
156.0,232,196,-930,72,27,-979,0,0,0,0.0
171.0,232,196,-930,72,27,-979,0,0,0,0.0
187.0,232,196,-930,72,27,-979,0,0,0,0.0
203.0,232,196,-930,72,27,-979,0,0,0,0.0
218.0,232,196,-930,72,27,-979,0,0,0,0.0
234.0,232,196,-930,72,27,-979,0,0,0,0.0
250.0,232,196,-930,72,27,-979,0,0,0,0.0
265.0,232,196,-930,72,27,-979,0,0,0,0.0
281.0,232,196,-930,72,27,-979,0,0,0,0.0
296.0,232,196,-930,72,27,-979,0,0,0,0.0
312.0,232,196,-930,72,27,-979,0,0,0,0.0
328.0,232,196,-930,72,27,-979,0,0,0,0.0
343.0,232,196,-930,72,27,-979,0,0,0,0.0
359.0,232,196,-920,72,27,-979,0,0,0,0.0
375.0,232,196,-920,63,27,-989,0,0,0,0.0
390.0,242,196,-930,54,46,-979,0,0,0,0.0
406.0,252,186,-930,63,46,-1000,0,0,0,0.0
421.0,232,196,-940,63,46,-1000,0,0,0,0.0
437.0,232,205,-910,72,37,-989,0,0,0,0.0
453.0,232,205,-930,45,27,-969,0,0,0,0.0
468.0,232,186,-930,63,37,-989,0,0,0,0.0
484.0,222,196,-910,63,37,-989,0,0,0,0.0
500.0,222,196,-920,54,27,-969,0,0,0,0.0
515.0,222,196,-920,54,46,-979,0,0,0,0.0
531.0,222,176,-940,72,37,-969,0,0,0,0.0
546.0,242,186,-910,72,37,-969,0,0,0,0.0
562.0,242,186,-920,72,27,-989,0,0,0,0.0
578.0,242,186,-920,72,27,-989,0,0,0,0.0
593.0,222,205,-910,63,27,-969,0,0,0,0.0
609.0,242,205,-930,81,18,-969,0,0,0,0.0
625.0,242,205,-930,81,18,-969,0,0,0,0.0
640.0,242,186,-920,81,18,-969,0,0,0,0.0
656.0,242,186,-920,81,18,-969,0,0,0,0.0
671.0,242,186,-910,63,27,-1000,0,0,0,0.0
687.0,232,186,-920,63,27,-989,0,0,0,0.0
703.0,222,186,-920,54,37,-959,0,0,0,0.0
718.0,212,196,-930,54,37,-959,0,0,0,0.0
734.0,212,196,-930,72,27,-989,0,0,0,0.0
750.0,242,176,-910,72,27,-969,0,0,0,0.0
765.0,242,205,-930,54,37,-969,0,0,0,0.0
781.0,232,196,-930,63,46,-969,0,0,0,0.0
796.0,232,215,-930,63,37,-979,0,0,0,0.0
812.0,222,196,-910,63,37,-979,0,0,0,0.0
828.0,222,196,-910,72,27,-979,0,0,0,0.0
843.0,232,186,-930,54,27,-979,0,0,0,0.0
859.0,222,196,-920,63,46,-959,0,0,0,0.0
875.0,242,186,-920,81,18,-969,0,0,0,0.0
890.0,232,196,-930,54,37,-969,0,0,0,0.0
906.0,232,196,-920,54,37,-969,0,0,0,0.0
921.0,242,196,-920,63,37,-989,0,0,0,0.0
937.0,242,196,-920,63,46,-1000,0,0,0,0.0
953.0,242,176,-940,63,37,-969,0,0,0,0.0
968.0,242,205,-930,63,37,-959,0,0,0,0.0
984.0,232,196,-910,63,27,-979,0,0,0,0.0
1000.0,242,186,-920,63,46,-1000,0,0,0,0.0
1015.0,232,186,-920,63,46,-1000,0,0,0,0.0
1031.0,232,186,-920,54,37,-969,0,0,0,0.0
1046.0,232,196,-910,63,37,-989,0,0,0,0.0
1062.0,242,186,-920,72,27,-979,0,0,0,0.0
1078.0,252,205,-930,72,9,-969,0,0,0,0.0
1093.0,222,186,-930,54,37,-979,0,0,0,0.0
1109.0,222,186,-930,63,27,-979,0,0,0,0.0
1125.0,232,196,-930,63,37,-979,0,0,0,0.0
1140.0,232,196,-920,54,37,-959,0,0,0,0.0
1156.0,232,205,-930,54,37,-959,0,0,0,0.0
1171.0,242,186,-920,63,27,-989,0,0,0,0.0
1187.0,242,186,-920,72,27,-969,0,0,0,0.0
1203.0,232,205,-910,54,37,-969,0,0,0,0.0
1218.0,242,186,-940,72,37,-989,0,0,0,0.0
1234.0,242,186,-940,63,27,-979,0,0,0,0.0
1250.0,232,205,-920,63,27,-979,0,0,0,0.0
1265.0,212,196,-930,54,46,-979,0,0,0,0.0
1281.0,242,186,-930,63,37,-989,0,0,0,0.0
1296.0,242,186,-930,54,37,-979,0,0,0,0.0
1312.0,242,196,-910,54,27,-959,0,0,0,0.0
1328.0,242,186,-930,54,27,-959,0,0,0,0.0
1343.0,242,196,-940,63,37,-979,0,0,0,0.0
1359.0,242,196,-940,63,37,-969,0,0,0,0.0
1375.0,232,196,-920,63,18,-969,0,0,0,0.0
1390.0,232,196,-910,54,37,-959,0,0,0,0.0
1406.0,232,196,-910,54,37,-959,0,0,0,0.0
1421.0,242,186,-920,63,46,-979,0,0,0,0.0
1437.0,232,186,-920,63,46,-979,0,0,0,0.0
1453.0,232,196,-920,54,27,-979,0,0,0,0.0
1468.0,232,196,-920,63,37,-989,0,0,0,0.0
1484.0,222,186,-920,63,37,-989,0,0,0,0.0
1500.0,232,186,-920,63,37,-979,0,0,0,0.0
1515.0,232,196,-930,72,27,-979,0,0,0,0.0
